# 548 tests pass on cog but not on sunit-2026-04-20-jit-nojit
# columns: status	class	selector
error	EpApplyPreviewerTest	testRedundantMethodRemovalWithAbsentBehavior
error	EpApplyPreviewerTest	testRedundantPAckageTagRenameWithAbsentTag
error	EpApplyPreviewerTest	testRedundantPackageTagAddition
error	EpApplyPreviewerTest	testRedundantPackageTagRemoval
error	EpApplyPreviewerTest	testRedundantProtocolAddition
error	EpApplyPreviewerTest	testRedundantProtocolRemoval
error	EpApplyPreviewerTest	testRedundantSequenceOfMethodModifications
error	EpApplyPreviewerTest	testSequenceOfClassAndMethodAddition
error	EpApplyPreviewerTest	testSequenceOfMethodModifications
error	EpApplyPreviewerTest	testTraitAdditionWithTraitRemoved
error	EpApplyPreviewerTest	testTraitRemovalWithTraitAdded
error	EpApplyTest	testBehaviorNameChange
error	EpApplyTest	testClassAdditionWithClassRemoved
error	EpApplyTest	testClassAdditionWithCommentChanged
error	EpApplyTest	testClassAdditionWithInstanceVariablesChanged
error	EpApplyTest	testClassAdditionWithMetaclassInstanceVariablesChanged
error	EpApplyTest	testClassAdditionWithPackageChanged
error	EpApplyTest	testClassAdditionWithSuperclassChanged
error	EpApplyTest	testClassModificationWithClassRemoved
error	EpApplyTest	testClassRemovalWithClassAdded
error	EpApplyTest	testMethodAdditionWithMethodRemoved
error	EpApplyTest	testMethodAdditionWithProtocolChanged
error	EpApplyTest	testMethodAdditionWithSourceCodeChanged
error	EpApplyTest	testMethodModificationWithMethodRemoved
error	EpApplyTest	testMethodRemovalWithMethodAdded
error	EpApplyTest	testPackageAddition
error	EpApplyTest	testPackageRemoval
error	EpApplyTest	testPackageRename
error	EpApplyTest	testPackageRenameWithClass
error	EpApplyTest	testPackageRenameWithExtension
error	EpApplyTest	testPackageTagAdditionWithPackageTagRemoval
error	EpApplyTest	testPackageTagRemovalWithPackageTagAddition
error	EpApplyTest	testPackageTagRename
error	EpApplyTest	testPackageTagRenameWithClass
error	EpApplyTest	testProtocolAddition
error	EpApplyTest	testProtocolRemoval
error	EpApplyTest	testTraitAdditionWithTraitRemoved
error	EpApplyTest	testTraitModification
error	EpApplyTest	testTraitRemovalWithTraitAdded
error	EpCodeChangeIntegrationTest	testBehaviorCommentChange
error	EpCodeChangeIntegrationTest	testBehaviorCommentChangeWithoutStamp
error	EpCodeChangeIntegrationTest	testBehaviorNameChange
error	EpCodeChangeIntegrationTest	testClassAddition
error	EpCodeChangeIntegrationTest	testClassInstanceVariableAddition
error	EpCodeChangeIntegrationTest	testClassInstanceVariableRemoval
error	EpCodeChangeIntegrationTest	testClassModificationOfTraitComposition
error	EpCodeChangeIntegrationTest	testClassModificationWithHierarchy
error	EpCodeChangeIntegrationTest	testClassRemoval
error	EpCodeChangeIntegrationTest	testClassRemovalWithMethods
error	EpCodeChangeIntegrationTest	testInstanceVariableAddition
